Country Name	Country Code	Series Name	Series Code	2021 [YR2021]
Poland	POL	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	36.43308
Poland	POL	Account used to receive wages (% age 15+)	GFDD.AI.11	50.78474
Poland	POL	Credit card (% age 15+)	GFDD.AI.20	24.43752
Poland	POL	Debit card (% age 15+)	GFDD.AI.21	83.92507
Poland	POL	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	91.3877
Poland	POL	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	32.20681
Romania	ROU	Account at a formal financial institution (% age 15+)	GFDD.AI.05	69.1155
Romania	ROU	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	18.69878
Romania	ROU	Account used to receive wages (% age 15+)	GFDD.AI.11	28.41758
Romania	ROU	Credit card (% age 15+)	GFDD.AI.20	17.77906
Romania	ROU	Debit card (% age 15+)	GFDD.AI.21	52.64559
Romania	ROU	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	56.0595
Romania	ROU	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	17.59328
San Marino	SMR	Account at a formal financial institution (% age 15+)	GFDD.AI.05	..
San Marino	SMR	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	..
San Marino	SMR	Account used to receive wages (% age 15+)	GFDD.AI.11	..
San Marino	SMR	Credit card (% age 15+)	GFDD.AI.20	..
San Marino	SMR	Debit card (% age 15+)	GFDD.AI.21	..
San Marino	SMR	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	..
San Marino	SMR	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	..
Serbia	SRB	Account at a formal financial institution (% age 15+)	GFDD.AI.05	89.41574
Serbia	SRB	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	18.93365
Serbia	SRB	Account used to receive wages (% age 15+)	GFDD.AI.11	42.96198
Serbia	SRB	Credit card (% age 15+)	GFDD.AI.20	16.15886
Serbia	SRB	Debit card (% age 15+)	GFDD.AI.21	61.50156
Serbia	SRB	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	59.10219
Serbia	SRB	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	20.04573
Slovak Republic	SVK	Account at a formal financial institution (% age 15+)	GFDD.AI.05	95.6197
Slovak Republic	SVK	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	58.85001
Slovak Republic	SVK	Account used to receive wages (% age 15+)	GFDD.AI.11	54.83364
Slovak Republic	SVK	Credit card (% age 15+)	GFDD.AI.20	30.93812
Slovak Republic	SVK	Debit card (% age 15+)	GFDD.AI.21	89.16058
Slovak Republic	SVK	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	92.67116
Slovak Republic	SVK	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	27.17976
Slovenia	SVN	Account at a formal financial institution (% age 15+)	GFDD.AI.05	99.04966
Slovenia	SVN	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	39.84549
Slovenia	SVN	Account used to receive wages (% age 15+)	GFDD.AI.11	57.33865
Slovenia	SVN	Credit card (% age 15+)	GFDD.AI.20	45.04756
Slovenia	SVN	Debit card (% age 15+)	GFDD.AI.21	96.63953
Slovenia	SVN	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	93.60808
Slovenia	SVN	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	31.03794
Spain	ESP	Account at a formal financial institution (% age 15+)	GFDD.AI.05	98.29844
Spain	ESP	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	53.53113
Spain	ESP	Account used to receive wages (% age 15+)	GFDD.AI.11	35.07179
Spain	ESP	Credit card (% age 15+)	GFDD.AI.20	56.60897
Spain	ESP	Debit card (% age 15+)	GFDD.AI.21	83.27872
Spain	ESP	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	97.14665
Spain	ESP	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	8.030812
Switzerland	CHE	Account at a formal financial institution (% age 15+)	GFDD.AI.05	99.49103
Switzerland	CHE	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	56.22841
Switzerland	CHE	Account used to receive wages (% age 15+)	GFDD.AI.11	34.95145
Switzerland	CHE	Credit card (% age 15+)	GFDD.AI.20	69.20733
Switzerland	CHE	Debit card (% age 15+)	GFDD.AI.21	85.37373
Switzerland	CHE	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	98.02178
Switzerland	CHE	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	17.95017
Sweden	SWE	Account at a formal financial institution (% age 15+)	GFDD.AI.05	99.68876
Sweden	SWE	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	79.74033
Sweden	SWE	Account used to receive wages (% age 15+)	GFDD.AI.11	67.42933
Sweden	SWE	Credit card (% age 15+)	GFDD.AI.20	48.35307
Sweden	SWE	Debit card (% age 15+)	GFDD.AI.21	98.16763
Sweden	SWE	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	98.41447
Sweden	SWE	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	48.7752
Turkey	TUR	Account at a formal financial institution (% age 15+)	GFDD.AI.05	73.36633
Turkey	TUR	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	9.550521
Turkey	TUR	Account used to receive wages (% age 15+)	GFDD.AI.11	21.4784
Turkey	TUR	Credit card (% age 15+)	GFDD.AI.20	32.60971
Turkey	TUR	Debit card (% age 15+)	GFDD.AI.21	58.86863
Turkey	TUR	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	61.66508
Turkey	TUR	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	20.92232
United Kingdom	GBR	Account at a formal financial institution (% age 15+)	GFDD.AI.05	99.76327
United Kingdom	GBR	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	60.97789
United Kingdom	GBR	Account used to receive wages (% age 15+)	GFDD.AI.11	35.90972
United Kingdom	GBR	Credit card (% age 15+)	GFDD.AI.20	62.10731
United Kingdom	GBR	Debit card (% age 15+)	GFDD.AI.21	95.45591
United Kingdom	GBR	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	98.59076
United Kingdom	GBR	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	10.79754
Ukraine	UKR	Account at a formal financial institution (% age 15+)	GFDD.AI.05	83.56481
Ukraine	UKR	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	10.54467
Ukraine	UKR	Account used to receive wages (% age 15+)	GFDD.AI.11	33.27823
Ukraine	UKR	Credit card (% age 15+)	GFDD.AI.20	37.02474
Ukraine	UKR	Debit card (% age 15+)	GFDD.AI.21	69.58485
Ukraine	UKR	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	75.44676
Ukraine	UKR	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	27.86429
Malta	MLT	Account at a formal financial institution (% age 15+)	GFDD.AI.05	96.44681
Malta	MLT	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	45.61825
Malta	MLT	Account used to receive wages (% age 15+)	GFDD.AI.11	48.33694
Malta	MLT	Credit card (% age 15+)	GFDD.AI.20	42.47502
Malta	MLT	Debit card (% age 15+)	GFDD.AI.21	89.13473
Malta	MLT	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	85.7861
Malta	MLT	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	24.41574
Austria	AUT	Account at a formal financial institution (% age 15+)	GFDD.AI.05	99.95072
Austria	AUT	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	66.66631
Austria	AUT	Account used to receive wages (% age 15+)	GFDD.AI.11	40.78981
Austria	AUT	Credit card (% age 15+)	GFDD.AI.20	58.98505
Austria	AUT	Debit card (% age 15+)	GFDD.AI.21	95.54238
Austria	AUT	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	99.22798
Austria	AUT	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	21.55665
Cyprus	CYP	Account at a formal financial institution (% age 15+)	GFDD.AI.05	93.1299
Cyprus	CYP	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	28.09946
Cyprus	CYP	Account used to receive wages (% age 15+)	GFDD.AI.11	41.96129
Cyprus	CYP	Credit card (% age 15+)	GFDD.AI.20	32.47764
Cyprus	CYP	Debit card (% age 15+)	GFDD.AI.21	81.82374
Cyprus	CYP	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	78.61389
Cyprus	CYP	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	28.41063
Czech Republic	CZE	Account at a formal financial institution (% age 15+)	GFDD.AI.05	94.9367
Czech Republic	CZE	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	59.77381
Czech Republic	CZE	Account used to receive wages (% age 15+)	GFDD.AI.11	52.73431
Czech Republic	CZE	Credit card (% age 15+)	GFDD.AI.20	29.85087
Czech Republic	CZE	Debit card (% age 15+)	GFDD.AI.21	89.04747
Czech Republic	CZE	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	93.09673
Czech Republic	CZE	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	25.65411
Liechtenstein	LIE	Account at a formal financial institution (% age 15+)	GFDD.AI.05	..
Liechtenstein	LIE	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	..
Liechtenstein	LIE	Account used to receive wages (% age 15+)	GFDD.AI.11	..
Liechtenstein	LIE	Credit card (% age 15+)	GFDD.AI.20	..
Liechtenstein	LIE	Debit card (% age 15+)	GFDD.AI.21	..
Liechtenstein	LIE	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	..
Liechtenstein	LIE	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	..
Monaco	MCO	Account at a formal financial institution (% age 15+)	GFDD.AI.05	..
Monaco	MCO	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	..
Monaco	MCO	Account used to receive wages (% age 15+)	GFDD.AI.11	..
Monaco	MCO	Credit card (% age 15+)	GFDD.AI.20	..
Monaco	MCO	Debit card (% age 15+)	GFDD.AI.21	..
Monaco	MCO	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	..
Monaco	MCO	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	..
North Macedonia	MKD	Account at a formal financial institution (% age 15+)	GFDD.AI.05	85.28869
North Macedonia	MKD	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	14.84834
North Macedonia	MKD	Account used to receive wages (% age 15+)	GFDD.AI.11	28.32677
North Macedonia	MKD	Credit card (% age 15+)	GFDD.AI.20	22.20278
North Macedonia	MKD	Debit card (% age 15+)	GFDD.AI.21	52.63146
North Macedonia	MKD	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	65.78199
North Macedonia	MKD	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	22.17039
				
				
				
Data from database: Global Financial Development				
Last Updated: 09/23/2022				
Code	Indicator Name	Short definition	Long definition	Source	Topic
GFDD.AI.05	Financial institution account (% age 15+)	"The percentage of respondents with an account (self or together with someone else) at a bank	 credit union	 another financial institution (e.g.	 cooperative	 microfinance institution)	 or the post office (if applicable) including respondents who reported having a debit card (% age 15+)."	"The percentage of respondents with an account (self or together with someone else) at a bank	 credit union	 another financial institution (e.g.	 cooperative	 microfinance institution)	 or the post office (if applicable) including respondents who reported having a debit card (% age 15+). The values correspond to Global Findex variable fin1_t_a."	"Global Financial Inclusion (Global Findex) Database	 World Bank"	Access
GFDD.AI.06	Saved at a financial institution (% age 15+)	"The percentage of respondents who report saving or setting aside any money by using an account at a formal financial institution such as a bank	 credit union	 microfinance institution	 or cooperative in the past 12 months (% age 15+)."	"The percentage of respondents who report saving or setting aside any money by using an account at a formal financial institution such as a bank	 credit union	 microfinance institution	 or cooperative in the past 12 months (% age 15+). The values correspond to Global Findex variable fin17a_t_a."	"Global Financial Inclusion (Global Findex) Database	 World Bank"	Access
GFDD.AI.11	Received wages: into a financial institution account (% age 15+)	The percentage of respondents who report using their accounts at a formal financial institution to receive money or payments for work or from selling goods in the past 12 months (% age 15+).	The percentage of respondents who report using their accounts at a formal financial institution to receive money or payments for work or from selling goods in the past 12 months (% age 15+). The values correspond to Global Findex variable fin34a_t_a.	"Global Financial Inclusion (Global Findex) Database	 World Bank"	Access
GFDD.AI.20	Credit card ownership (% age 15+)	The percentage of respondents with a credit card (% age 15+).	The percentage of respondents with a credit card (% age 15+). The variables correspond to Global Findex variable fin7_t_a.	"Global Financial Inclusion (Global Findex) Database	 World Bank"	Access
GFDD.AI.21	Debit card ownership (% age 15+)	The percentage of respondents with a debit card (% age 15+).	The percentage of respondents with a debit card (% age 15+). The variables correspond to Global Findex variable fin2_t_a.	"Global Financial Inclusion (Global Findex) Database	 World Bank"	Access
GFDD.AI.22	Made digital payments in the past year (% age 15+)	The percentage of respondents who used electronic payments (payments that one makes or that are made automatically including wire transfers or payments made online) in the past 12 months to make payments on bills or to buy things using money from their accounts (% age 15+).	The percentage of respondents who used electronic payments (payments that one makes or that are made automatically including wire transfers or payments made online) in the past 12 months to make payments on bills or to buy things using money from their accounts (% age 15+). The variables correspond to Global Findex variable g20_t_made.	"Global Financial Inclusion (Global Findex) Database	 World Bank"	Access
GFDD.AI.23	Paid utility bills: using a mobile phone (% age 15+)	The percentage of respondents who report using a mobile phone to pay bills in the past 12 months (% age 15+).	The percentage of respondents who report using a mobile phone to pay bills in the past 12 months (% age 15+). The variables correspond to Global Findex variable fin31b_t_a.	"Global Financial Inclusion (Global Findex) Database	 World Bank"	Access
